Date,Price,Dividend,Earnings,CPI,long_i,Mkt-RF,SMB,HML,RF
1926-07-01,12.62,0.65,1.24,17.50,0.0351,0.0289,-0.0255,-0.0239,0.0022
1926-08-01,13.12,0.66,1.24,17.40,0.034816667,0.0264,-0.0114,0.0381,0.0025
1926-09-01,13.32,0.67,1.24,17.50,0.034533333,0.0038,-0.0136,0.0005,0.0023
1926-01-01,13.02,0.68,1.24,17.60,0.03425,-0.0327,-0.0014,0.0082,0.0032
1926-11-01,13.19,0.68,1.24,17.70,0.033966667,0.0254,-0.0011,-0.0061,0.0031
1926-12-01,13.49,0.69,1.24,17.70,0.033683333,0.0262,-0.0007,0.0006,0.0028
1927-01-01,13.40,0.70,1.23,17.50,0.0334,-0.0005,-0.0032,0.0458,0.0025
1927-02-01,13.66,0.70,1.22,17.40,0.033391667,0.0417,0.0007,0.0272,0.0026
1927-03-01,13.87,0.71,1.21,17.30,0.033383333,0.0014,-0.0177,-0.0238,0.003
1927-04-01,14.21,0.72,1.20,17.30,0.033375,0.0047,0.0039,0.0065,0.0025
1927-05-01,14.70,0.72,1.19,17.40,0.033366667,0.0545,0.0155,0.048,0.003
1927-06-01,14.89,0.73,1.18,17.60,0.033358333,-0.0238,0.0051,-0.0172,0.0026
1927-07-01,15.22,0.74,1.16,17.30,0.03335,0.0726,-0.0327,-0.0113,0.003
1927-08-01,16.03,0.74,1.15,17.20,0.033341667,0.0199,-0.0077,-0.0385,0.0028
1927-09-01,16.94,0.75,1.14,17.30,0.033333333,0.0477,-0.036,-0.0057,0.0021
1927-01-01,16.68,0.76,1.13,17.40,0.033325,-0.0429,0.0203,-0.0447,0.0025
1927-11-01,17.06,0.76,1.12,17.30,0.033316667,0.0652,0.0278,-0.0008,0.0021
1927-12-01,17.46,0.77,1.11,17.30,0.033308333,0.0209,0.0098,-0.0112,0.0022
1928-01-01,17.53,0.78,1.13,17.30,0.0333,-0.0057,0.042,-0.0071,0.0025
1928-02-01,17.32,0.78,1.16,17.10,0.033525,-0.0169,-0.0206,-0.0064,0.0033
1928-03-01,18.25,0.79,1.18,17.10,0.03375,0.0879,-0.0038,-0.0111,0.0029
1928-04-01,19.40,0.80,1.20,17.10,0.033975,0.0425,0.0414,0.0325,0.0022
1928-05-01,20.00,0.80,1.22,17.20,0.0342,0.0152,0.027,-0.03,0.0032
1928-06-01,19.02,0.81,1.25,17.10,0.034425,-0.049,-0.0376,0.0028,0.0031
1928-07-01,19.16,0.82,1.27,17.10,0.03465,0.0063,-0.0136,-0.0054,0.0032
1928-08-01,19.78,0.82,1.29,17.10,0.034875,0.0669,-0.0204,-0.0213,0.0032
1928-09-01,21.17,0.83,1.31,17.30,0.0351,0.0287,0.024,0.0084,0.0027
1928-01-01,21.60,0.84,1.34,17.20,0.035325,0.0131,0.0224,-0.0214,0.0041
1928-11-01,23.06,0.84,1.36,17.20,0.03555,0.1182,-0.0182,0.0265,0.0038
1928-12-01,23.15,0.85,1.38,17.10,0.035775,0.004,-0.0093,-0.0052,0.0006
1929-01-01,24.86,0.86,1.40,17.10,0.036,0.0466,-0.0335,-0.0122,0.0034
1929-02-01,24.99,0.87,1.42,17.10,0.035741667,-0.0034,-0.0033,0.0166,0.0036
1929-03-01,25.43,0.88,1.44,17.00,0.035483333,-0.0085,-0.0491,0.0157,0.0034
1929-04-01,25.28,0.89,1.46,16.90,0.035225,0.0147,-0.0112,0.0093,0.0036
1929-05-01,25.66,0.90,1.48,17.00,0.034966667,-0.0638,-0.0544,-0.0152,0.0044
1929-06-01,26.15,0.91,1.50,17.10,0.034708333,0.097,-0.0214,-0.0274,0.0052
1929-07-01,28.48,0.92,1.51,17.30,0.03445,0.0448,-0.0387,0.0267,0.0033
1929-08-01,30.10,0.93,1.53,17.30,0.034191667,0.0814,-0.0975,0.0032,0.004
1929-09-01,31.30,0.94,1.55,17.30,0.033933333,-0.0545,0.0134,-0.0079,0.0035
1929-01-01,27.99,0.95,1.57,17.30,0.033675,-0.2007,-0.0495,0.0754,0.0046
1929-11-01,20.58,0.96,1.59,17.30,0.033416667,-0.1287,-0.0088,0.0505,0.0037
1929-12-01,21.40,0.97,1.61,17.20,0.033158333,0.0128,-0.041,-0.0014,0.0037
1930-01-01,21.71,0.97,1.56,17.10,0.0329,0.0561,0.0349,-0.0103,0.0014
1930-02-01,23.07,0.97,1.50,17.00,0.032941667,0.025,0.0028,0.0028,0.003
1930-03-01,23.94,0.97,1.45,16.90,0.032983333,0.0709,0.0339,0.003,0.0035
1930-04-01,25.46,0.97,1.40,17.00,0.033025,-0.0205,-0.0035,-0.0037,0.0021
1930-05-01,23.94,0.97,1.34,16.90,0.033066667,-0.0166,-0.021,-0.0074,0.0026
1930-06-01,21.52,0.98,1.29,16.80,0.033108333,-0.1608,-0.0359,0.024,0.0027
